timestamp,type,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8,emg_9,emg_10,emg_11,emg_12,emg_13,emg_14,emg_15
10680,IMU,0.86,-0.08,-0.01,-0.51,0.02,-0.14,0.87,15.00,5.00,-63.81
10705,IMU,0.85,-0.07,-0.00,-0.52,0.01,-0.11,0.89,16.37,17.56,-63.69
10706,EMG,2,103,5,-18,-7,-1,4,1,0,57,-3,-21,5,1,2,-2
10730,IMU,0.85,-0.07,-0.00,-0.53,0.00,-0.12,0.89,10.44,17.75,-60.44
10731,IMU,0.84,-0.07,0.00,-0.54,-0.01,-0.09,0.91,-2.44,21.25,-60.88
10755,EMG,1,108,1,75,-9,3,3,4,-4,32,-3,-14,-25,-5,-3,1
10756,IMU,0.83,-0.07,0.00,-0.55,-0.02,-0.11,0.89,-8.13,20.00,-65.31
10780,IMU,0.83,-0.07,0.01,-0.56,-0.00,-0.11,0.89,-2.12,22.62,-65.44
10781,EMG,1,-75,-6,16,-7,4,0,0,-4,-111,-1,-25,-8,1,1,-3
10805,IMU,0.82,-0.06,0.01,-0.57,0.03,-0.08,0.91,6.50,27.12,-66.44
10830,IMU,0.82,-0.06,0.01,-0.58,-0.04,-0.09,0.89,-0.37,30.87,-68.19
10831,EMG,0,-2,0,-2,-13,-2,4,5,-2,18,-6,-21,2,-4,-3,-2
10832,IMU,0.81,-0.06,0.02,-0.59,-0.04,-0.10,0.90,-10.31,21.87,-71.56
10855,IMU,0.80,-0.06,0.02,-0.60,-0.03,-0.12,0.88,-11.19,17.19,-73.94
10856,EMG,-5,-12,-7,-4,-6,1,-2,-2,1,-51,-3,37,-9,-6,0,-1
10880,IMU,0.79,-0.06,0.03,-0.61,-0.07,-0.14,0.86,-7.00,15.88,-72.12
10905,IMU,0.79,-0.06,0.03,-0.62,-0.03,-0.12,0.90,-6.75,12.31,-68.19
10906,EMG,1,-1,-2,-6,-2,2,5,3,-2,-23,-2,0,6,4,-2,-4
10930,IMU,0.78,-0.05,0.03,-0.63,0.00,-0.07,0.90,-5.44,16.56,-69.25
10931,IMU,0.77,-0.05,0.03,-0.64,-0.03,-0.11,0.88,-11.81,18.87,-71.25
10955,EMG,2,1,2,9,2,1,-3,1,-3,-5,0,-6,5,-2,3,1
10956,IMU,0.76,-0.05,0.04,-0.64,-0.06,-0.14,0.88,-15.00,15.38,-66.94
10980,IMU,0.75,-0.05,0.04,-0.65,-0.10,-0.14,0.88,-7.06,11.50,-62.25
10981,EMG,3,3,-4,22,-16,-3,-1,-1,2,-7,0,-36,-10,-5,-2,-3
11005,IMU,0.75,-0.05,0.04,-0.66,0.02,-0.18,0.92,-1.06,12.50,-43.25
11030,IMU,0.75,-0.05,0.04,-0.66,-0.05,-0.06,0.86,1.81,10.69,-36.38
11031,EMG,2,-7,1,14,5,-2,0,3,0,8,-5,-5,7,5,-4,1
11032,IMU,0.74,-0.05,0.04,-0.67,-0.05,-0.14,0.91,-4.69,0.88,-42.06
11055,IMU,0.74,-0.05,0.05,-0.67,-0.09,-0.14,0.87,-9.56,-0.62,-39.44
11056,EMG,2,-11,-8,44,-14,2,-1,1,0,17,-6,-11,-11,2,1,1
11080,IMU,0.73,-0.05,0.05,-0.68,-0.10,-0.14,0.90,-5.87,-2.94,-49.44
11105,IMU,0.72,-0.05,0.05,-0.69,-0.07,-0.16,0.89,1.69,-3.44,-62.44
11106,EMG,2,-10,4,-8,2,-2,3,1,-1,21,-1,14,-3,1,2,0
11130,IMU,0.72,-0.05,0.05,-0.70,-0.09,-0.14,0.90,13.38,2.56,-64.62
11131,IMU,0.71,-0.05,0.05,-0.70,-0.09,-0.15,0.88,5.37,4.69,-59.88
11155,EMG,2,-21,1,-19,4,0,3,-4,4,26,3,29,-9,-3,-1,4
11156,IMU,0.70,-0.05,0.05,-0.71,-0.08,-0.15,0.86,-0.75,-5.56,-55.75
11180,IMU,0.70,-0.05,0.05,-0.72,-0.04,-0.17,0.90,-4.56,-5.94,-48.38
11181,EMG,3,-32,-1,-47,12,1,-3,4,-2,12,2,6,-11,-1,-4,-4
11205,IMU,0.69,-0.05,0.05,-0.72,-0.05,-0.16,0.88,2.56,-2.62,-44.19
11230,IMU,0.68,-0.05,0.04,-0.73,-0.05,-0.13,0.86,9.25,-0.37,-44.38
11231,EMG,0,-13,3,-9,-7,0,2,-1,1,20,-1,23,4,4,0,0
11232,IMU,0.68,-0.05,0.04,-0.73,-0.02,-0.13,0.88,9.25,-6.00,-44.81
11255,IMU,0.67,-0.05,0.04,-0.74,0.01,-0.12,0.88,6.50,-5.12,-38.50
11305,EMG,-2,34,9,34,-2,0,1,-4,-8,-63,-9,-65,-3,-1,-6,-8
11306,IMU,0.67,-0.05,0.04,-0.74,0.07,-0.13,0.90,3.94,-5.12,-28.69
11307,EMG,-2,35,-7,39,9,1,6,-1,-1,-59,-1,-61,2,0,-2,3
11318,IMU,0.67,-0.05,0.04,-0.74,0.01,-0.12,0.89,2.31,1.81,-16.19
11355,IMU,0.67,-0.05,0.04,-0.74,-0.01,-0.13,0.89,1.06,-0.81,-12.31
11357,IMU,0.67,-0.05,0.04,-0.74,-0.02,-0.13,0.89,2.06,-5.06,-10.38
11358,EMG,5,14,-9,15,-4,-3,-4,-1,-1,-19,4,-31,1,0,0,0
11369,IMU,0.66,-0.05,0.04,-0.74,-0.02,-0.14,0.89,1.31,-5.25,-6.00
11380,IMU,0.66,-0.05,0.04,-0.74,-0.00,-0.14,0.87,2.06,-6.75,2.37
11381,EMG,-4,23,3,26,5,-2,-2,-8,2,-43,-2,-41,-1,-6,-1,2
11405,IMU,0.67,-0.05,0.04,-0.74,-0.01,-0.12,0.87,-0.81,-9.25,8.06
11430,IMU,0.67,-0.05,0.04,-0.74,-0.04,-0.13,0.88,-3.12,-6.06,8.81
11431,EMG,3,2,3,1,-4,0,1,-1,1,10,0,13,-1,-1,-1,-1
11432,IMU,0.67,-0.05,0.04,-0.74,-0.03,-0.12,0.89,-0.19,-2.62,6.56
11455,IMU,0.67,-0.05,0.04,-0.74,-0.01,-0.12,0.89,4.56,2.87,6.12
11480,EMG,-2,-19,3,-19,0,0,3,-2,1,-65,-3,-63,3,-1,5,2
11481,IMU,0.67,-0.05,0.04,-0.74,-0.01,-0.12,0.89,2.87,0.81,8.56
11505,IMU,0.67,-0.05,0.04,-0.74,-0.02,-0.13,0.88,1.37,-1.19,10.44
11506,EMG,-3,-31,8,-32,8,0,-1,3,-2,21,1,21,-8,1,-3,-1
11530,IMU,0.67,-0.05,0.04,-0.74,-0.02,-0.14,0.88,2.81,-4.06,15.13
11531,IMU,0.68,-0.05,0.04,-0.73,-0.02,-0.12,0.88,4.25,-8.31,17.81
11555,EMG,-2,18,0,27,-5,1,1,-2,1,-41,5,-39,8,0,-2,1
11556,IMU,0.68,-0.05,0.04,-0.73,-0.02,-0.11,0.89,1.75,-11.94,17.37
11580,IMU,0.68,-0.05,0.04,-0.73,-0.00,-0.12,0.90,2.00,-11.81,18.37
11581,EMG,2,-47,3,-38,4,1,-2,3,5,-39,-1,-37,-1,2,-3,-1
11605,IMU,0.68,-0.05,0.03,-0.73,-0.01,-0.13,0.88,4.87,-10.06,21.75
